CAPRUX — DATA PRODUK   ·   Baris hijau = contoh (boleh dihapus)   ·   Isi mulai baris 4;;;;;;;;;;;;;;
id;name;type;price;status;shopee_url;image1;image2;image3;image4;desc;var_size;var_warna;var_stok;
CPX_KO_01;THE TROPICAL SOUL;Kaos;Rp 100.000;open;https://id.shp.ee/kc8YJcLh;CPX_KO_01.png;CPX_KO_02.png;CPX_KO_03.png;CPX_KO_04.png;Kaos oblong premium bahan <strong>Micro Cotton Danbowl 210gsm</strong>. Polyflex 3D Silicon 1mm timbul bukan sablon. Regular fit, adem untuk iklim tropis. Terinspirasi panas bumi — The Tropical Soul.;M,L,XL;Hitam,Steel Blue;M-Hitam=10,M-Steel Blue=5,L-Hitam=8,L-Steel Blue=3,XL-Hitam=4,XL-Steel Blue=5;
CPX_JP_01;THE VOLCANIC SOUL;Jaket;Rp 150.000;open;https://id.shp.ee/c1xPsCmU;CPX_JP_01.png;CPX_JP_02.png;CPX_JP_03.png;CPX_JP_04.png;Jaket outdoor bahan <strong>Parasut Crincle</strong> — ringan dan tahan angin. Zipper YKK, hood adjustable. Untuk yang naik gunung tanpa melepas gaya.;M,L,XL;Hitam,Abu,Petrol;M-Hitam=6,M-Abu=4,,M-Petrol=4,L-Hitam=5,L-Abu=3,L-Petrol=4,XL-Hitam=6,XL-Abu=4,,XL-Petrol=4,;
CPX_CP_01;THE ARCHIPELAGO SOUL;Celana;Rp75.000 ;soon;;CPX_CP_01.png;CPX_CP_02.png;CPX_CP_03.png;CPX_CP_04.png;Celana pendek bahan <strong>Nilon Ripstop</strong> — kuat dan quick-dry. 2 saku samping + 1 saku belakang. For men only, no excuses.;All Size;Hitam,;M-Hitam=0;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
